chem_id,smiles,M,T
chemical_046_2,C=CC[Si](Cl)(Cl)Cl,191.51,0
chemical_046_3,C=CC[Si](Cl)(Cl)Cl,191.51,10
chemical_046_4,C=CC[Si](Cl)(Cl)Cl,191.51,20
chemical_046_5,C=CC[Si](Cl)(Cl)Cl,191.51,30
chemical_047_1,CC(O)CN,75.11,-10
chemical_047_2,CC(O)CN,75.11,0
chemical_047_3,CC(O)CN,75.11,10
chemical_047_4,CC(O)CN,75.11,20
chemical_047_5,CC(O)CN,75.11,30
chemical_048_1,COc1ccccc1,108.14,-10
chemical_048_2,COc1ccccc1,108.14,0
chemical_048_3,COc1ccccc1,108.14,10
chemical_048_4,COc1ccccc1,108.14,20
chemical_048_5,COc1ccccc1,108.14,30
chemical_049_1,O=Cc1ccccc1,106.12,-10
chemical_049_2,O=Cc1ccccc1,106.12,0
chemical_049_3,O=Cc1ccccc1,106.12,10
chemical_049_4,O=Cc1ccccc1,106.12,20
chemical_049_5,O=Cc1ccccc1,106.12,30
chemical_050_1,N#CCC1=CC=CC=C1,117.15,-10
chemical_050_2,N#CCC1=CC=CC=C1,117.15,0
chemical_050_3,N#CCC1=CC=CC=C1,117.15,10
chemical_050_4,N#CCC1=CC=CC=C1,117.15,20
chemical_050_5,N#CCC1=CC=CC=C1,117.15,30
chemical_051_1,OCCc1ccccc1,122.17,-10
chemical_051_2,OCCc1ccccc1,122.17,0
chemical_051_3,OCCc1ccccc1,122.17,10
chemical_051_4,OCCc1ccccc1,122.17,20
chemical_051_5,OCCc1ccccc1,122.17,30
chemical_052_1,Sc1ccccc1,110.18,-10
chemical_052_2,Sc1ccccc1,110.18,0
chemical_052_3,Sc1ccccc1,110.18,10
chemical_052_4,Sc1ccccc1,110.18,20
chemical_052_5,Sc1ccccc1,110.18,30
chemical_053_1,c1ccc2occc2c1,118.14,-10
chemical_053_2,c1ccc2occc2c1,118.14,0
chemical_053_3,c1ccc2occc2c1,118.14,10
chemical_053_4,c1ccc2occc2c1,118.14,20
chemical_053_5,c1ccc2occc2c1,118.14,30
chemical_054_1,C1=CC=C(C=C1)C#N,103.12,-10
chemical_054_2,C1=CC=C(C=C1)C#N,103.12,0
chemical_054_3,C1=CC=C(C=C1)C#N,103.12,10
chemical_054_4,C1=CC=C(C=C1)C#N,103.12,20
chemical_054_5,C1=CC=C(C=C1)C#N,103.12,30
chemical_055_1,CC#N,41.05,-10
chemical_055_2,CC#N,41.05,0
chemical_055_3,CC#N,41.05,10
chemical_055_4,CC#N,41.05,20
chemical_055_5,CC#N,41.05,30
