chem_id,smiles,T
chemical_049_4,COc1ccccc1,20
chemical_049_5,COc1ccccc1,30
chemical_050_1,O=Cc1ccccc1,-10
chemical_050_2,O=Cc1ccccc1,0
chemical_050_3,O=Cc1ccccc1,10
chemical_050_4,O=Cc1ccccc1,20
chemical_050_5,O=Cc1ccccc1,30
chemical_051_1,N#CCC1=CC=CC=C1,-10
chemical_051_2,N#CCC1=CC=CC=C1,0
chemical_051_3,N#CCC1=CC=CC=C1,10
chemical_051_4,N#CCC1=CC=CC=C1,20
chemical_051_5,N#CCC1=CC=CC=C1,30
chemical_052_1,OCCc1ccccc1,-10
chemical_052_2,OCCc1ccccc1,0
chemical_052_3,OCCc1ccccc1,10
chemical_052_4,OCCc1ccccc1,20
chemical_052_5,OCCc1ccccc1,30
chemical_053_1,Sc1ccccc1,-10
chemical_053_2,Sc1ccccc1,0
chemical_053_3,Sc1ccccc1,10
chemical_053_4,Sc1ccccc1,20
chemical_053_5,Sc1ccccc1,30
chemical_054_1,c1ccc2occc2c1,-10
chemical_054_2,c1ccc2occc2c1,0
chemical_054_3,c1ccc2occc2c1,10
chemical_054_4,c1ccc2occc2c1,20
chemical_054_5,c1ccc2occc2c1,30
chemical_055_1,C1=CC=C(C=C1)C#N,-10
chemical_055_2,C1=CC=C(C=C1)C#N,0
chemical_055_3,C1=CC=C(C=C1)C#N,10
chemical_055_4,C1=CC=C(C=C1)C#N,20
chemical_055_5,C1=CC=C(C=C1)C#N,30
chemical_056_1,CC#N,-10
chemical_056_2,CC#N,0
chemical_056_3,CC#N,10
chemical_056_4,CC#N,20
chemical_056_5,CC#N,30
chemical_057_1,CC(=O)OCC1=CC=CC=C1,-10
chemical_057_2,CC(=O)OCC1=CC=CC=C1,0
chemical_057_3,CC(=O)OCC1=CC=CC=C1,10
chemical_057_4,CC(=O)OCC1=CC=CC=C1,20
chemical_057_5,CC(=O)OCC1=CC=CC=C1,30
chemical_058_1,OCC1=CC=CC=C1,-10
chemical_058_2,OCC1=CC=CC=C1,0
chemical_058_3,OCC1=CC=CC=C1,10
chemical_058_4,OCC1=CC=CC=C1,20
chemical_058_5,OCC1=CC=CC=C1,30
chemical_059_1,NCc1ccccc1,-10
chemical_059_2,NCc1ccccc1,0
chemical_059_3,NCc1ccccc1,10
chemical_059_4,NCc1ccccc1,20
chemical_059_5,NCc1ccccc1,30
chemical_060_1,CCOCc1ccccc1,-10
chemical_060_2,CCOCc1ccccc1,0
chemical_060_3,CCOCc1ccccc1,10
chemical_060_4,CCOCc1ccccc1,20
chemical_060_5,CCOCc1ccccc1,30
chemical_061_1,C1CCC2CC2C1,-10
chemical_061_2,C1CCC2CC2C1,0
chemical_061_3,C1CCC2CC2C1,10
chemical_061_4,C1CCC2CC2C1,20
chemical_061_5,C1CCC2CC2C1,30
chemical_062_1,NCCNCCN,-10
chemical_062_2,NCCNCCN,0
chemical_062_3,NCCNCCN,10
chemical_062_4,NCCNCCN,20
chemical_062_5,NCCNCCN,30
chemical_063_1,ClCCOCCCl,-10
chemical_063_2,ClCCOCCCl,0
chemical_063_3,ClCCOCCCl,10
chemical_063_4,ClCCOCCCl,20
chemical_063_5,ClCCOCCCl,30
chemical_064_1,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-10
chemical_064_2,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,0
chemical_064_3,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,10
chemical_064_4,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,20
chemical_064_5,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,30
chemical_065_1,OCCOCCO,-10
chemical_065_2,OCCOCCO,0
chemical_065_3,OCCOCCO,10
chemical_065_4,OCCOCCO,20
chemical_065_5,OCCOCCO,30
chemical_066_1,OCCOCCOCCO,-10
chemical_066_2,OCCOCCOCCO,0
chemical_066_3,OCCOCCOCCO,10
chemical_066_4,OCCOCCOCCO,20
chemical_066_5,OCCOCCOCCO,30
chemical_067_1,Brc1ccccc1,-10
chemical_067_2,Brc1ccccc1,0
chemical_067_3,Brc1ccccc1,10
chemical_067_4,Brc1ccccc1,20
chemical_067_5,Brc1ccccc1,30
chemical_068_1,CCCCBr,-10
chemical_068_2,CCCCBr,0
chemical_068_3,CCCCBr,10
chemical_068_4,CCCCBr,20
chemical_068_5,CCCCBr,30
chemical_069_1,CCC(Br)C,-10
chemical_069_2,CCC(Br)C,0
chemical_069_3,CCC(Br)C,10
chemical_069_4,CCC(Br)C,20
chemical_069_5,CCC(Br)C,30
chemical_070_1,O=P(OCC)(C#N)N(C)C,-10
chemical_070_2,O=P(OCC)(C#N)N(C)C,0
chemical_070_3,O=P(OCC)(C#N)N(C)C,10
